354e951,Esika Rumky,4 minutes ago,Merge branch 'main' of https://github.com/er23abe/A238_Team_Research
8bddbef,Esika Rumky,5 minutes ago, Updated git log file
035166e,precious-herts,22 minutes ago,added some changes to analysis and removed the documents that were not useful
0610186,Hodan Abdi,60 minutes ago,Adding to Evaluation
5d54361,Hodan Abdi,2 hours ago,Adding to the Analysis
78d555a,Hodan Abdi,2 hours ago,Histogram and Scatter Plot Analysis
8c7cfdd,Hodan Abdi,2 hours ago,Changes to Introduction
ff2b974,jb21abg,2 hours ago,Fixed formatting and references - ref 1 doesn't work
7c3bb6b,Hodan Abdi,2 hours ago,Changes to introduction
3121306,jb21abg,2 hours ago,Fixed formatting and references - ref 1 doesn't work
43a83e7,jb21abg,3 hours ago,reviewed file, needs Hodan info at start
29182e9,er23abe,16 hours ago,Updated the reviewed sections
40c2c31,jb21abg,24 hours ago,reviewed section 6 and added to 6.3
a0547c7,jb21abg,24 hours ago,added changes I made to the other file onto this one along with my contributions to section 4 (and other comments)
969769f,er23abe,2 days ago,Added GitHub Log Output
0957527,Esika Rumky,2 days ago, Adding git log file
2ffb0ad,er23abe,2 days ago,Added Analysis, Group Evaluation, Conclusion, Reference , R code
c4072fd,er23abe,2 days ago,Delete 7COM1079_report_introduction.docx
dc0dfee,er23abe,2 days ago,Add files via upload
9dd3340,jb21abg,3 days ago,fixed paragraph spacing, added comments with ideas for changes.
ca46128,er23abe,4 days ago,Add files via upload
c7cc5ee,er23abe,9 days ago,I have added background research in the report.
2b195a7,precious-herts,11 days ago,Added the report document 7COM1079_report_introduction.docx as well as chapter 1 which is introduction
b56f28b,Hodan Abdi,6 weeks ago,Merge branch 'visualisation-and-presentation-work'
ee9e002,Hodan Abdi,6 weeks ago,Merge branch 'main' of https://github.com/er23abe/A238_Team_Research
911585e,Hodan Abdi,6 weeks ago,adding head(dataset,2) to R file
2cabb4f,humayunshakib,7 weeks ago,Update Readme
ec60827,Hodan Abdi,7 weeks ago,Visualisation using a histogram and scatterplot
22b68ae,Hodan Abdi,7 weeks ago,filtering dataset reducing col and removing missing data
4226d59,Hodan Abdi,7 weeks ago,Revert "data in relation to your research question.ipynb"
513f033,Hodan Abdi,7 weeks ago,Revert " Python Code for showing histogram diagram"
5e49d94,Hodan Abdi,7 weeks ago,Revert " data visualization of  relation to our research question"
52587d8,Hodan Abdi,7 weeks ago,Revert " data visualization of  showing historigram"
edbc388,Hodan Abdi,7 weeks ago,Revert " Updating git log File"
a03ccc8,Esika Rumky,7 weeks ago, Updating git log File
413614b,Esika Rumky,7 weeks ago, data visualization of  showing historigram
df9734c,Esika Rumky,7 weeks ago, data visualization of  relation to our research question
899a2aa,Esika Rumky,7 weeks ago, Python Code for showing histogram diagram
ae948a4,Esika Rumky,7 weeks ago,data in relation to your research question.ipynb
35ee4b3,Banks,8 weeks ago,added some code for the form assignment (creating subset of rows we need).
e092985,precious-herts,8 weeks ago,I made some modifications to our reseach question, null hypothesis and alternate hypothesis. I also changed the name of the presenter to Azubuike Precious
cc2799c,Hodan Abdi,8 weeks ago,Uploading dataset to RStudio
d4dadc9,er23abe,8 weeks ago,Add files via upload